,estrategy,optimizer,loss,janela_de_tempo,janela_de_predicao,epochs,batch_size,features,index_parameter,file,len_database,history,mae_val
0,simple,adam,binary_crossentropy,60,10,20,32,['close'],0,ADAUSDT-5m-data.csv,1000,"{'loss': [0.8552319407463074, 0.6338790655136108, 0.6132026314735413, 0.6031004786491394, 0.5918421745300293, 0.5819201469421387, 0.5735246539115906, 0.5771447420120239, 0.5694233179092407, 0.5700709819793701, 0.5678582787513733, 0.5652633905410767, 0.5653979778289795, 0.5646286010742188, 0.5636189579963684, 0.5642970204353333, 0.5624151229858398, 0.5633025169372559, 0.5632727146148682, 0.5615377426147461], 'accuracy': [0.0023297492880374193, 0.003046595025807619, 0.0032258068677037954, 0.003405018011108041, 0.003405017778277397, 0.0034050182439386845, 0.003405018011108041, 0.003584229853004217, 0.00358422938734293, 0.003584229853004217, 0.00358422938734293, 0.00358422938734293, 0.00358422938734293, 0.00358422938734293, 0.003584229853004217, 0.00358422938734293, 0.003584229853004217, 0.003584229853004217, 0.003584229853004217, 0.00358422938734293], 'val_loss': [0.6436538696289062, 0.621785044670105, 0.6126959919929504, 0.6013704538345337, 0.5892733931541443, 0.5776340365409851, 0.5732517242431641, 0.571505069732666, 0.5711309313774109, 0.5747705101966858, 0.5693976283073425, 0.5686361789703369, 0.5697335600852966, 0.567359447479248, 0.5677122473716736, 0.5677267909049988, 0.566630482673645, 0.5681098103523254, 0.5671639442443848, 0.5660213828086853], 'val_accuracy': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.263092273489515
1,simple,adam,binary_crossentropy,60,10,20,32,"['high', 'low', 'close']",1,ADAUSDT-5m-data.csv,1000,"{'loss': [0.7043194770812988, 0.6057778000831604, 0.5934484601020813, 0.5829470753669739, 0.5779953002929688, 0.5723838806152344, 0.572762668132782, 0.5703338980674744, 0.5691046714782715, 0.5675549507141113, 0.5666531324386597, 0.5664389133453369, 0.5653569102287292, 0.5643019676208496, 0.563741147518158, 0.5620588064193726, 0.5622422695159912, 0.5618710517883301, 0.561897337436676, 0.5629066824913025], 'accuracy': [0.002688172273337841, 0.0032258066348731518, 0.003405018011108041, 0.003405018476769328, 0.0034050182439386845, 0.0034050182439386845, 0.0034050182439386845, 0.00358422938734293, 0.003405018011108041, 0.0034050182439386845, 0.00358422938734293, 0.003584229853004217, 0.00358422938734293, 0.00358422938734293, 0.00358422938734293, 0.00358422938734293, 0.003584229853004217, 0.00358422938734293, 0.003584229853004217, 0.003584229853004217], 'val_loss': [0.6124680042266846, 0.6067589521408081, 0.5928506255149841, 0.585452675819397, 0.5801631212234497, 0.5762099623680115, 0.5750675201416016, 0.5738667845726013, 0.5725377202033997, 0.5713735222816467, 0.5703034996986389, 0.5702621340751648, 0.5688617825508118, 0.5683895349502563, 0.5673443675041199, 0.5672028064727783, 0.5665346384048462, 0.5657511353492737, 0.5659144520759583, 0.5662346482276917], 'val_accuracy': [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]}",0.2510388672294172
2,simple,adam,binary_crossentropy,60,10,20,32,['close'],0,ALGOUSDT-5m-data.csv,1000,"{'loss': [1.148941159248352, 0.6905106902122498, 0.6316532492637634, 0.6174013018608093, 0.6064388751983643, 0.5984018445014954, 0.5928933620452881, 0.5839465260505676, 0.5737699866294861, 0.5642914175987244, 0.5592600703239441, 0.5622673034667969, 0.5503382682800293, 0.5445343852043152, 0.5427613258361816, 0.5412335991859436, 0.5392068028450012, 0.5382949709892273, 0.5371532440185547, 0.5362666845321655], 'accuracy': [0.001792114693671465, 0.0021505376789718866, 0.0030465952586382627, 0.0030465952586382627, 0.0032258068677037954, 0.0032258068677037954, 0.0032258068677037954, 0.0032258068677037954, 0.003405018011108041, 0.003405018011108041, 0.003405018011108041, 0.003225807100534439, 0.0034050182439386845, 0.00358422938734293, 0.003405018476769328, 0.003405018476769328, 0.003584229853004217, 0.003584229853004217, 0.00358422938734293, 0.003584229853004217], 'val_loss': [0.7168871760368347, 0.6364137530326843, 0.6074786186218262, 0.5996217727661133, 0.5915495157241821, 0.582191526889801, 0.5805710554122925, 0.5671273469924927, 0.5585039258003235, 0.5491836071014404, 0.5560341477394104, 0.5424292087554932, 0.5378511548042297, 0.5342010259628296, 0.5324864387512207, 0.530483603477478, 0.5291957855224609, 0.5279092192649841, 0.5277113914489746, 0.5258646011352539], 'val_accuracy': [0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717]}",0.2728475527254601
3,simple,adam,binary_crossentropy,60,10,20,32,"['high', 'low', 'close']",1,ALGOUSDT-5m-data.csv,1000,"{'loss': [4.528303623199463, 0.6599844098091125, 0.5914534330368042, 0.5872034430503845, 0.5749065279960632, 0.5693220496177673, 0.5596611499786377, 0.5518863201141357, 0.5457251071929932, 0.5442050695419312, 0.5409349799156189, 0.5373126864433289, 0.5357961058616638, 0.5368844270706177, 0.5357195138931274, 0.5332672595977783, 0.5319548845291138, 0.5310771465301514, 0.5311392545700073, 0.529114842414856], 'accuracy': [0.0017921149265021086, 0.0030465952586382627, 0.0032258068677037954, 0.003046595025807619, 0.0032258068677037954, 0.0034050182439386845, 0.003405018011108041, 0.003405018476769328, 0.003405018011108041, 0.003405018011108041, 0.00358422938734293, 0.00358422938734293, 0.003584229853004217, 0.00358422938734293, 0.00358422938734293, 0.00358422938734293, 0.003584229853004217, 0.003584229853004217, 0.00358422938734293, 0.003584229853004217], 'val_loss': [0.6091728210449219, 0.5826995372772217, 0.5810951590538025, 0.5697800517082214, 0.5622961521148682, 0.5545313358306885, 0.5468481779098511, 0.5389494895935059, 0.5360541939735413, 0.5367687344551086, 0.5303808450698853, 0.5283911228179932, 0.5269999504089355, 0.5258347988128662, 0.5251317620277405, 0.5243324041366577, 0.5235522389411926, 0.5228123664855957, 0.5223142504692078, 0.5220239162445068], 'val_accuracy': [0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717, 0.0005376344197429717]}",0.26877292943328707
