,estrategy,optimizer,loss,janela_de_tempo,janela_de_predicao,epochs,batch_size,features,index_parameter,file,len_database,history,mae_val
0,simple,adam,binary_crossentropy,30,10,2,32,['close'],0,ADAUSDT-5m-data.csv,1000,"{'loss': [0.7450201511383057, 0.6188220381736755], 'accuracy': [0.0024305556435137987, 0.0031250000465661287], 'val_loss': [0.65055912733078, 0.6284806132316589], 'val_accuracy': [0.0, 0.0]}",0.25809655480984833
1,simple_02,adam,binary_crossentropy,30,10,2,32,"['high', 'low', 'close']",1,ADAUSDT-5m-data.csv,1000,"{'loss': [1.4265433549880981, 0.63461834192276], 'accuracy': [0.001909722457639873, 0.0031250000465661287], 'val_loss': [0.654329776763916, 0.644118070602417], 'val_accuracy': [0.0, 0.0]}",0.2642703300078449
